name,latitude,longitude
Azcapotzalco,19.46296012,-99.150314
Azcapotzalco,19.46294043,-99.15055405
Azcapotzalco,19.46294829,-99.15082803
Azcapotzalco,19.46305345,-99.15168748
Azcapotzalco,19.46314009,-99.15236655
Azcapotzalco,19.46320265,-99.15287977
Azcapotzalco,19.46324223,-99.15322278
Azcapotzalco,19.463271,-99.1534722
Azcapotzalco,19.46330268,-99.15362126
Azcapotzalco,19.46347882,-99.15454997
Azcapotzalco,19.4635674,-99.15499414
Azcapotzalco,19.46369655,-99.15568406
Azcapotzalco,19.46379135,-99.1560852
Azcapotzalco,19.46390446,-99.15652818
Azcapotzalco,19.46401494,-99.15708018
Azcapotzalco,19.46405465,-99.15731129
Azcapotzalco,19.46408208,-99.15757734
Azcapotzalco,19.46408023,-99.15793969
Azcapotzalco,19.46403828,-99.15824545
Azcapotzalco,19.46392495,-99.15865071
Azcapotzalco,19.463839,-99.15885311
Azcapotzalco,19.46369826,-99.15910166
Azcapotzalco,19.46355355,-99.15930383
Azcapotzalco,19.46342706,-99.15945049
Azcapotzalco,19.46332446,-99.15954891
Azcapotzalco,19.46306748,-99.15972977
Azcapotzalco,19.46260058,-99.1600446
Azcapotzalco,19.46221157,-99.16025848
Azcapotzalco,19.46187286,-99.16044632
Azcapotzalco,19.46140606,-99.16071645
Azcapotzalco,19.46118868,-99.16086585
Azcapotzalco,19.46096889,-99.16105368
Azcapotzalco,19.46076802,-99.16126938
Azcapotzalco,19.46049297,-99.16162278
Azcapotzalco,19.46013514,-99.16210037
Azcapotzalco,19.45997192,-99.16232115
Azcapotzalco,19.45977182,-99.16257091
Azcapotzalco,19.45963731,-99.16269931
Azcapotzalco,19.45948983,-99.16282617
Azcapotzalco,19.45934132,-99.16293478
Azcapotzalco,19.45906292,-99.16308165
Azcapotzalco,19.45888348,-99.16315415
Azcapotzalco,19.45816272,-99.16331675
Azcapotzalco,19.4575536,-99.16345795
Azcapotzalco,19.45706403,-99.1635714
Azcapotzalco,19.45643477,-99.16371277
Azcapotzalco,19.45651125,-99.16419054
Azcapotzalco,19.45665866,-99.16506018
Azcapotzalco,19.45673746,-99.16560595
Azcapotzalco,19.45703162,-99.16744474
Azcapotzalco,19.45717669,-99.16830609
Azcapotzalco,19.45719744,-99.16843398
Azcapotzalco,19.45763228,-99.1711138
Azcapotzalco,19.45806286,-99.173761
Azcapotzalco,19.45819868,-99.17460371
Azcapotzalco,19.45826674,-99.17502385
Azcapotzalco,19.45838694,-99.17576588
Azcapotzalco,19.45856958,-99.17689162
Azcapotzalco,19.45866105,-99.17745517
Azcapotzalco,19.45871601,-99.17776269
Azcapotzalco,19.45875563,-99.1779844
Azcapotzalco,19.45892872,-99.17878328
Azcapotzalco,19.45895032,-99.17890727
Azcapotzalco,19.45912592,-99.17991554
Azcapotzalco,19.45930134,-99.18108203
Azcapotzalco,19.45947469,-99.18201215
Azcapotzalco,19.45964662,-99.18311463
Azcapotzalco,19.45983851,-99.18409814
Azcapotzalco,19.45983912,-99.18410218
Azcapotzalco,19.45985254,-99.18418885
Azcapotzalco,19.46002042,-99.18527277
Azcapotzalco,19.46001405,-99.18538772
Azcapotzalco,19.46046843,-99.18724474
Azcapotzalco,19.46047794,-99.18728362
Azcapotzalco,19.46077726,-99.18848325
Azcapotzalco,19.46234649,-99.18824431
Azcapotzalco,19.46240729,-99.18823421
Azcapotzalco,19.4636594,-99.18802626
Azcapotzalco,19.46381462,-99.18800023
Azcapotzalco,19.46415146,-99.18914194
Azcapotzalco,19.4644302,-99.19001411
Azcapotzalco,19.46467145,-99.19073111
Azcapotzalco,19.4651451,-99.19070386
Azcapotzalco,19.46571966,-99.1906708
Azcapotzalco,19.465946,-99.19066066
Azcapotzalco,19.46793632,-99.19057942
Azcapotzalco,19.470459,-99.19044425
Azcapotzalco,19.47050561,-99.19058413
Azcapotzalco,19.47062948,-99.19095586
Azcapotzalco,19.47076754,-99.19141052
Azcapotzalco,19.47102119,-99.19249526
Azcapotzalco,19.4710387,-99.19257015
Azcapotzalco,19.47106805,-99.19269569
Azcapotzalco,19.47107438,-99.19272276
Azcapotzalco,19.4711416,-99.19301024
Azcapotzalco,19.47122003,-99.19334566
Azcapotzalco,19.4712596,-99.19351487
Azcapotzalco,19.47140432,-99.19413372
